M,Z
641.966,-14.332
642.965,-14.333
643.965,-14.334
644.965,-14.335
645.965,-14.336
646.965,-14.337
647.965,-14.338
648.965,-14.339
649.965,-14.34
650.965,-14.342
651.965,-14.343
652.965,-14.344
653.965,-14.345
654.965,-14.347
655.965,-14.348
656.965,-14.35
657.965,-14.351
658.965,-14.353
659.965,-14.354
660.965,-14.356
661.964,-14.357
662.964,-14.359
663.964,-14.361
664.964,-14.363
665.964,-14.364
666.964,-14.366
667.964,-14.368
668.964,-14.37
669.964,-14.372
670.964,-14.374
671.964,-14.376
672.964,-14.378
673.964,-14.38
674.964,-14.382
675.964,-14.385
676.964,-14.387
677.964,-14.389
678.964,-14.391
679.963,-14.394
680.963,-14.396
681.963,-14.399
682.963,-14.401
683.963,-14.403
684.963,-14.406
685.963,-14.409
686.963,-14.41
687.963,-14.409
688.963,-14.408
689.963,-14.407
690.963,-14.406
691.963,-14.405
692.963,-14.404
693.963,-14.403
694.963,-14.402
695.963,-14.401
696.963,-14.401
697.963,-14.4
698.962,-14.4
699.962,-14.399
700.962,-14.399
701.962,-14.398
702.962,-14.398
703.962,-14.398
704.962,-14.398
705.962,-14.398
706.962,-14.398
707.962,-14.398
708.962,-14.398
709.962,-14.398
710.962,-14.399
711.962,-14.399
712.962,-14.4
713.962,-14.4
714.962,-14.401
715.962,-14.401
716.962,-14.402
717.961,-14.403
718.961,-14.404
719.961,-14.404
720.961,-14.403
721.961,-14.399
722.961,-14.396
723.961,-14.392
724.961,-14.389
725.961,-14.385
726.961,-14.382
727.961,-14.379
728.961,-14.377
729.961,-14.374
730.961,-14.372
731.961,-14.369
732.961,-14.367
733.961,-14.365
734.961,-14.363
735.96,-14.361
736.96,-14.36
737.96,-14.358
738.96,-14.357
739.96,-14.356
740.96,-14.355
741.96,-14.354
742.96,-14.353
743.96,-14.352
744.96,-14.352
745.96,-14.352
746.96,-14.352
747.96,-14.352
748.96,-14.352
749.96,-14.352
750.96,-14.352
751.96,-14.353
752.96,-14.354
753.96,-14.355
754.959,-14.356
755.959,-14.357
756.959,-14.358
757.959,-14.359
758.959,-14.361
759.959,-14.363
760.959,-14.365
761.959,-14.367
762.959,-14.369
763.959,-14.371
764.959,-14.374
765.959,-14.376
766.959,-14.379
767.959,-14.382
768.959,-14.385
769.959,-14.388
770.959,-14.392
771.959,-14.395
772.959,-14.399
773.958,-14.402
774.958,-14.406
775.958,-14.41
776.958,-14.415
777.958,-14.419
778.958,-14.424
779.958,-14.428
780.958,-14.433
781.958,-14.438
782.958,-14.443
783.958,-14.448
784.958,-14.454
785.958,-14.459
786.958,-14.465
787.958,-14.471
788.958,-14.477
789.958,-14.483
790.958,-14.489
791.957,-14.495
792.957,-14.502
793.957,-14.509
794.957,-14.515
795.957,-14.522
796.957,-14.53
797.957,-14.537
798.957,-14.544
799.957,-14.552
800.957,-14.56
801.957,-14.567
802.957,-14.575
803.957,-14.584
804.957,-14.592
805.957,-14.6
806.957,-14.609
807.957,-14.618
808.957,-14.627
809.957,-14.636
810.956,-14.645
811.956,-14.654
812.956,-14.664
813.956,-14.673
814.956,-14.683
815.956,-14.693
816.956,-14.703
817.956,-14.713
818.956,-14.723
819.956,-14.734
820.956,-14.745
821.956,-14.755
822.956,-14.766
823.956,-14.777
824.956,-14.789
825.956,-14.8
826.956,-14.811
827.956,-14.823
828.955,-14.835
829.955,-14.847
830.955,-14.859
831.955,-14.871
832.955,-14.883
833.955,-14.893
834.955,-14.904
835.955,-14.915
836.955,-14.925
837.955,-14.936
838.955,-14.947
839.955,-14.958
840.955,-14.968
841.955,-14.979
842.955,-14.99
843.955,-15
844.955,-15.011
845.955,-15.019
846.955,-15.015
847.954,-15.011
848.954,-15.007
849.954,-15.003
850.954,-14.999
851.954,-14.995
852.954,-14.991
853.954,-14.987
854.954,-14.983
855.954,-14.979
856.954,-14.975
857.954,-14.97
858.954,-14.966
859.954,-14.962
860.954,-14.958
861.954,-14.954
862.954,-14.95
863.954,-14.946
864.954,-14.942
865.954,-14.938
866.953,-14.934
867.953,-14.93
868.953,-14.926
869.953,-14.921
870.953,-14.917
871.953,-14.913
872.953,-14.909
873.953,-14.905
874.953,-14.901
875.953,-14.897
876.953,-14.893
877.953,-14.889
878.953,-14.885
879.953,-14.881
880.953,-14.877
881.953,-14.872
882.953,-14.868
883.953,-14.864
884.952,-14.86
885.952,-14.856
886.952,-14.852
887.952,-14.848
888.952,-14.844
889.952,-14.84
890.952,-14.836
891.952,-14.831
892.952,-14.827
893.952,-14.823
894.952,-14.819
895.952,-14.815
896.952,-14.811
897.952,-14.807
898.952,-14.803
899.952,-14.799
900.952,-14.795
901.952,-14.791
902.952,-14.787
903.951,-14.783
904.951,-14.778
905.951,-14.774
906.951,-14.77
907.951,-14.766
908.951,-14.762
909.951,-14.758
910.951,-14.754
911.951,-14.75
912.951,-14.746
913.951,-14.742
914.951,-14.738
915.951,-14.734
916.951,-14.729
917.951,-14.725
918.951,-14.721
919.951,-14.717
920.951,-14.713
921.951,-14.709
922.95,-14.705
923.95,-14.701
924.95,-14.697
925.95,-14.693
926.95,-14.689
927.95,-14.685
928.95,-14.68
929.95,-14.676
930.95,-14.672
931.95,-14.668
932.95,-14.664
933.95,-14.66
934.95,-14.656
935.95,-14.652
936.95,-14.648
937.95,-14.644
938.95,-14.64
939.95,-14.636
940.949,-14.631
941.949,-14.627
942.949,-14.623
