Code, FullName, CodeName, 
384, Antimoon in ug/l na filtratie in oppervlaktewater                                                                         , 384%7CAntimoon+in+ug%2Fl+na+filtratie+in+oppervlaktewater                                                                                        , 
2211, Antraceen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                        , 2211%7CAntraceen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                  , 
434, Antraceen in mg/kg drooggewicht in bodem/sediment                                                                         , 434%7CAntraceen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                      , 
494, Antraceen in mg/kg drooggewicht in zwevende stof                                                                          , 494%7CAntraceen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                         , 
255, Antraceen in ug/l in oppervlaktewater                                                                                     , 255%7CAntraceen+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
2192, Arseen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                           , 2192%7CArseen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                     , 
436, Arseen in mg/kg drooggewicht in bodem/sediment                                                                            , 436%7CArseen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                         , 
495, Arseen in mg/kg drooggewicht in zwevende stof                                                                             , 495%7CArseen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                            , 
437, Arseen in mg/kg in zwevende stof                                                                                          , 437%7CArseen+in+mg%2Fkg+in+zwevende+stof                                                                                                         , 
257, Arseen in ug/l in oppervlaktewater                                                                                        , 257%7CArseen+in+ug%2Fl+in+oppervlaktewater                                                                                                       , 
258, Arseen in ug/l na filtratie in oppervlaktewater                                                                           , 258%7CArseen+in+ug%2Fl+na+filtratie+in+oppervlaktewater                                                                                          , 
5592, Atrazine in ug/l in oppervlaktewater                                                                                      , 5592%7CAtrazine+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
5930, Barium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                           , 5930%7CBarium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                     , 
1074, Barium in mg/kg drooggewicht in bodem/sediment                                                                            , 1074%7CBarium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                        , 
1187, Barium in mg/kg drooggewicht in zwevende stof                                                                             , 1187%7CBarium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                           , 
263, Barium in ug/l in oppervlaktewater                                                                                        , 263%7CBarium+in+ug%2Fl+in+oppervlaktewater                                                                                                       , 
264, Barium in ug/l na filtratie in oppervlaktewater                                                                           , 264%7CBarium+in+ug%2Fl+na+filtratie+in+oppervlaktewater                                                                                          , 
947, Bentazon in ug/l in oppervlaktewater                                                                                      , 947%7CBentazon+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
