ELLIPSOID_CODE,ELLIPSOID_NAME,SEMI_MAJOR_AXIS,UOM_CODE,INV_FLATTENING,SEMI_MINOR_AXIS,ELLIPSOID_SHAPE,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
7036,GRS 1967,6378160,9001,298.247167427,NaN,1,Adopted by IUGG 1967 Lucerne.  1/f given is derived from geocentric gravitational constant (GM)= 398603e9 m*m*m/s/s; dynamic form factor (J2) = 0.0010827 and Earth's angular velocity w = 7.2921151467e-5 rad/s. See also GRS 1967 Modified (code 7050).,"Geodetic Reference System 1967"; International Association of Geodesy special publication number 3; August 1971.,EPSG,25-2-2011,1996.090 1997.252 1998.320 2002.500 2011.016,0
7041,Average Terrestrial System 1977,6378135,9001,298.257,NaN,1,NaN,New Brunswick Geographic Information Corporation land and water information standards manual,EPSG,22-7-1997,1998.321,0
7042,Everest (1830 Definition),20922931.8,9080,NaN,20853374.58,1,Everest gave a and b to 2 decimal places and also 1/f=300.8017 (to 4 decimal places exactly). In the 19th century b was normally given as the second defining parameter.,"Ellipsoidisch Parameter der Erdfigur (1800-1950)" by Georg Strasser,EPSG,26-6-2008,1997.231 2008.057,0
7043,WGS 72,6378135,9001,298.26,NaN,1,NaN,NaN,EPSG,22-4-1999,1999.030,0
7044,Everest 1830 (1962 Definition),6377301.243,9001,300.8017255,NaN,1,Used by Pakistan since metrication.  Clarke's 1865 Indian foot-British foot ratio (0.99999566) and his 1865 British inch-metre ratio (39.369971) rounded with slight error as 1 Ind ft = 0.3047995m exactly and applied to Everest's 1830 definition of a & b.,NaN,EPSG,20-10-1999,NaN,0
7045,Everest 1830 (1975 Definition),6377299.151,9001,300.8017255,NaN,1,Used by India since metrication.  Clarke's 1865 Indian foot-British foot ratio (0.99999566) and his 1865 British inch-metre ratio (39.369971) rounded as 1 Ind ft = 0.3047995m exactly applied to Everest's 1830 original definition taken as a and b.,NaN,EPSG,20-10-1999,NaN,0
7046,Bessel Namibia (GLM),6377397.155,9031,299.1528128,NaN,1,The semi-major axis has the same value as the Bessel 1841 ellipsoid (code 7004) but is in different units - German Legal Metres rather than International metres - hence a different size.  a = 6377483.865 International metres. Used in Namibia.,"Chief Directorate: Surveys and Mapping, Mowbray, South Africa.",EPSG,21-9-2007,2007.091,0
7047,GRS 1980 Authalic Sphere,6370997,9001,NaN,6370997,0,Authalic sphere derived from Clarke 1866 ellipsoid (code 7008).  Deprecated as name and parameter values do not match; replaced by 7048.,OGP,EPSG,5-6-2001,NaN,1
7048,GRS 1980 Authalic Sphere,6371007,9001,NaN,6371007,0,Authalic sphere derived from GRS 1980 ellipsoid (code 7019).  (An authalic sphere is one with a surface area equal to the surface area of the ellipsoid). 1/f is infinite.,OGP,EPSG,25-6-2001,NaN,0
7049,IAG 1975,6378140,9001,298.257,NaN,1,NaN,"Chinese Sceience Bulletin, 2009, 54:2714-2721.",EPSG,24-11-2009,2009.084,0
7050,GRS 1967 Modified,6378160,9001,298.25,NaN,1,Based on the GRS 1967 figure (code 7036) but with 1/f taken to 2 decimal places exactly. Used with SAD69 and TWD67 datums. The dimensions are also used as the Australian National Spheroid (code 7003).,"Geodetic Reference System 1967"; International Association of Geodesy special publication number 3; August 1971.,EPSG,11-8-2008,2008.017,0
7051,Danish 1876,6377019.27,9001,300,NaN,1,Semi-major axis originally given as 3271883.25 toise. Uses toise to French metre ratio of 1.94903631 to two decimal place precision. An alternative ratio with the German legal metre of 1.9490622 giving 6377104m has not been used in Danish work.,"Kort og Matrikelstyrelsen (KMS), Copenhagen.",EPSG,27-6-2003,NaN,0
7052,Clarke 1866 Authalic Sphere,6370997,9001,NaN,6370997,0,Authalic sphere derived from Clarke 1866 ellipsoid (code 7008).,OGP,EPSG,27-4-2004,NaN,0
7053,Hough 1960,6378270,9001,297,NaN,1,NaN,DMA / NIMA / NGA TR8350.2,EPSG,26-1-2006,NaN,0
7054,PZ-90,6378136,9001,298.257839303,NaN,1,Earth's angular velocity  = 7.292115e-5 rad/sec; gravitational constant GM =  3986004.418e8 m*m*m/s/s.,"Parametry Zemli 1990 Reference Document, Military Topgraphic Department (VTU) of the General Staff of Armed Forces of the Russian Federation.",EPSG,15-12-2016,2015.055,0
7055,Clarke 1880 (international foot),20926202,9002,NaN,20854895,1,Clarke's 1880 definition in feet assumed for the purposes of metric conversion to be international foot. a = 6378306.370…metres. 1/f derived from a and b = 293.4663077… Used in Fiji.,"Department of Lands and Survey, Fiji.",EPSG,16-10-2017,2017.042,0
7056,Everest 1830 (RSO 1969),6377295.664,9001,300.8017,NaN,1,Adopted for 1969 metrication of peninsula Malaysia RSO grid.  Uses Sears 1922 yard-metre ratio truncated to 6 significant figures applied to Everest 1830 original definition of a and 1/f but with a taken to be in British rather than Indian feet.,Defence Geographic Centre,EPSG,24-7-2006,NaN,0
7057,International 1924 Authalic Sphere,6371228,9001,NaN,6371228,0,Authalic sphere derived from International 1924 ellipsoid (code 7022).,OGP,EPSG,22-9-2006,NaN,0
7058,Hughes 1980,6378273,9001,NaN,6356889.449,1,Used in US DMSP SSM/I microwave sensor processing software. Semi-minor axis derived from eccentricity=0.081816153. Semi-major axis (a) sometimes given as 3443.992nm which OGP suspects is a derived approximation. OGP conversion assumes 1nm=1852m exactly.,US National Snow and Ice Data Center,EPSG,22-9-2006,NaN,0
7059,Popular Visualisation Sphere,6378137,9001,NaN,6378137,0,Sphere with radius equal to the semi-major axis of the GRS80 and WGS 84 ellipsoids. Used only for Web approximate mapping and visualisation. Not recognised by geodetic authorities.,Microsoft.,EPSG,14-3-2008,2008.114,1
