CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
2018008,5-2-2018,16-2-2018,IOGP,Add Europe ETRS89 data,,,NaN,"Added datums 1204 and 1206, CRSs 8397, 8399, 8401 and 8403, and transformations 5900, 8366, 8405, 8407, 8409-17 and 8423-24. For CRSs 4258, 4936, 4937, 7930 and 7931 and datums 1186 and 6258, amended remarks. For datum 1178, in remarks removed spurious space. For datum 1182, corrected area code from 1262 to 1298. For transformations 7932-40, amended remarks. For transformations 7941-49, amended remarks and scope. For transformations 7950-51, amended scope."
2018011,8-2-2018,16-2-2018,IOGP,Add China HK and Macao data,,,NaN,"Added datums 1207, 1208 and 1210, projection 8432, CRSs 8425-31 and 8433-34 and transformations 8435-39. For datum 6611, in anchor definition added missing latitude hemisphere character. For transformation 1825, in remarks added cross-referencing."
2018015,27-2-2018,20-4-2018,IOGP,Correct spelling in WGS 84 (G1762) datum anchor,,1156,NaN,"For datum 1156, in datum anchor description corrected spelling of 'observation'."
2018018,12-4-2018,20-4-2018,IOGP,Remove duplicate aliases,,,NaN,"Added transformation 8674. For transformation 1096, amended variant and name from (2) to (13) to coincide with transformation 1095, amended scope. For transformation 1516, amended alias, variant and name from (1) to (18) to avoid clash with transformation 1201. For transformation 1767, changed name and made previous name an alias. For transformation 1771, in remarks amended cross-reference, amended scope. For transformations 5058 and 5493, removed alias."
2018026,12-5-2018,12-5-2018,IOGP,Add missing scope,,,NaN,"For coordinate operatons 1026-28, 1044, 1048, 1112, 1146, 1271, 1331-34, 1441-43, 1445-47, 1463, 1469, 1517, 1545, 1603-05, 1801, 1947-49, 6303, 6305, 8094, 8186, 8188, 8241 and 15753, in scope entered 'Not known'."
2018028,15-5-2018,29-5-2018,IOGP,Update base UoM remarks,,,NaN,"For UoM 9001, 9101, 9201 and 1040, amended information source and remarks. For UoM 1026 and 1035, removed plural from name, added former name as an EPSG alias and deleted Energistics alias (now used as name); amended information source and remarks. For UoM 1036, for name removed plural from name and added former name as an EPSG alias; amended information source and remarks."
2018031,3-6-2018,12-6-2018,IOGP,Amend Colombia CRS name,,,NaN,"For CRS 21899, added 'zone' to name (for consistency with other neighbouring zones) and added information source. For CRSs 21896-98, added information source."
2018035,25-6-2018,17-9-2019,IOGP,Add Angola data,,,NaN,"Added areas 4539, 4551 and 4555, datums 1217 and 1220, CRSs 8694, 8697-99 and 9156-59, CTs 8695-96, 8819, 8827 and 8883-84. Added CT 8882. For datum 6220, CRSs 4220, 22032-33 and 22091-92 and CTs 1317-1327; changed name from 'Camacupa' to 'Camacupa 1948' and added previous name as alias. For CRS 5842, amended remarks. For area 1607, changed name (inserted 'proper' to differentiate from 4555)."
2018036,7-7-2018,29-8-2018,IOGP,Add Serbia data,,,NaN,"Added datums 1214 and 1216 and CRSs 8682-8685 and 8691. For CRSs 4073 and 4074, added remarks and in information source corrected url. For CRSs 3906 and 4075, amended remarks."
2018039,20-7-2018,29-8-2018,IOGP,Amend Algeria CRS area,,,NaN,"Added area 4519. For CRSs 30492 and 30494, changed area code from 1729 to 4519."
201804,25-7-2018,1-8-2018,IOGP,Correct Nahrwan CRS remarks,,,NaN,"For datum 6270 and CRSs 4270 and 27039, removed remarks and added information source. For CRS 27040, added information source."
2018043,1-8-2018,1-8-2018,IOGP,Correct Slovenia transformation areas,,,NaN,"For transformation 3914, amended remarks and changed area code from 1212 to 3307. For transformations 3915-17, changed area code from 1212 to 3307."
2018047,14-8-2018,21-9-2018,IOGP,Correct French Polynesia transformations,,,NaN,"Deprecated transformations 4835, 15756, 15758-65, 15769-77 and 15832 and added replacements 8828-8835 and 8842-8853."
2018056,24-9-2018,27-9-2018,IOGP,Correct US NAD83(FBN) CRS,,,NaN,"Deprecated CRS 8449 and added replacement 8860 with updated remarks. Deprecated transformations dependent on CRS 8449 (8557-58, 8663-64, 8666-67 and 8671-72) and added replacements 8861-68. For CRSs 4152, 4269, 8541 and 8542, updated remarks."
201806,3-10-2018,14-1-2019,IOGP,Swaziland name change to Eswatini,,,NaN,"For areas 1224, 1290 and 2312, in name changed Swaziland to Eswatini, in description added Eswatini.  For areas 1462, 2071 and 2830, in description added Eswatini. Added area 4540. For datum 6168, CRSs 4940-41 and 4148 and transformation 1505, changed area code from 1215 to 4540."
2018064,3-11-2018,14-1-2019,IOGP,Minor updates to Libya areas,,,NaN,"For areas 1065, 1143, 1221, 1271, 1477, 2554, 3311 and 3928, amended polygon. For areas 1481, 2827, 3271 and 3951, amended polygon and bounding box."
2019002,16-1-2019,21-2-2019,IOGP,Add remarks to parameterless conversion,,1068,NaN,"For method 1068, added remarks."
2019006,10-2-2019,21-2-2019,IOGP,Clarify scale parameter in geocentric transformation methods,,,NaN,"For methods 1032-34, 1053, 1056 and 1061, in formula amended description of M to clarify that M = (1 + dS) and in example added value of M.  For methods 1037-39, 1054-55, 1057-58, 1062-63, 1066, 9606-07 and 9636, in example added value of M. For method 1065, added example. For parameter 8611, amended description."
2019019,30-3-2019,17-5-2019,IOGP,Add transformations to support GoM E&P operations,,8265,NaN,"Added transformations 8970 and 8971. For transformation 8265, in remarks corrected grammar."
2019021,1-4-2019,17-9-2019,IOGP,Add Chile data,,,NaN,"Added datums 1243 and 1252-54, CRSs 8947-51, 9146-55 and 9182-84 and transformations 9177-80. For datum 1064 and CRSs 5358-62, amended name, added aliases and amended remarks. For transformation 5375, changed source CRS code from 5360 to 9184.  For transformations 6949-51, 6968, 6970, 7448 and 7449, changed target CRS code from 5360 to 9184."
2019023,10-4-2019,3-5-2019,IOGP,Add ITRF alias,,,NaN,"For CRS 4896, changed alias (IGS2005 to IGS05). For CRS 7912, added alias (IGS14)."
201903,9-5-2019,17-5-2019,IOGP,Update country names,,,NaN,"For areas 1079 and 1148, amended name and description and added former name as alias. For areas 1321 1711-12, 2066 and 2370, in description amended name of North Macedonia. For areas 1284, 1299, 1306, 1513-14, 1792, 2064, 3574, 3576-78, 3580-82, 3594, 3900, and 4450-56, in description amended name of Czechia. For areas 2830, 2881, in description amended names of Czechia and North Macedonia. For area 1298, in description amended names of Czechia and North Macedonia; removed Ukraine to make description consistent with polygon. For methods 1041 and 9819, in formula updated country name. For naming systems 1042 and 1045, in description updated country name."
2019031,9-5-2019,17-5-2019,IOGP,Add ITRF and IGS data,,,NaN,"Added naming systems 1046-47, datums 1244-1248, CRSs 8988-9019 and CTs 9020-9038. For CRSs 4910-4917 and 7900-7907 and CTs 6281, 6283-6289, 6291-6300, 6302, 6389, 7790, 7814 and 8069-8079, added ISO aliases. For CRS 8227, added ISO aliases, in remarks added reference to ITRF, changed area code from 1262 to 2830. For CRS 6934, added ISO aliases and in remarks added reference to ITRF. For CRSs 4896, 4918-4919, 5332, 7789 and 7908-7912, removed IGS alias and added ISO aliases. For datums 1141 and 1191, removed aliases and updated anchor definition and remarks."
