CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
2003.041,20-06-2003,27-04-2004,EPSG,Add French datum transformations,,,,"Added coord op param 8727, coord op method 9655, tfms 1053-54."
2003.05,05-02-2003,05-02-2003,Frank Warmerdam,Correct scale factor unit,Coordinate Operation,18441 18442,,"Amended unit of measure for scale factor from ""US survey foot"" to ""Unity""."
2003.051,05-02-2003,06-02-2003,EPSG,Correct rotation unit,Coordinate Operation,1026 1027,,"Amended unit of measure for parameter B00 from ""coefficient"" to ""arc-second""."
2003.052,16-02-2003,17-02-2003,EPSG,Correct Scale Factor and False Easting unit of measure names,Coordinate Operation,16376,,"Amended unit of measure for parameter scale factor from ""meter"" to ""unity"" and amended unit of measure for parameter False Northing from ""unity"" to ""meter""."
2003.06,06-02-2003,06-02-2003,EPSG,Amend country name for Yugoslavia,Area,1258,Follows change of country name to Union of Serbia and Montenegro. ISO3166 yet to be updated.,"Added ""Union of Serbia and Montenegro"" to Yugoslavia."
2003.07,17-02-2003,17-02-2003,EPSG,Correct alias,Coordinate Operation,1274,,Deleted aliases and replaced with corrected alias.
2003.08,25-02-2003,25-02-2003,EPSG,Correct Canada Maritme Provinces transformation,Coordinate Operation,1604-08,,Corrected area of use and version for tfm 1604-05 which were transposed. Deprecated tfm 1606-08 and replaced with 1947-49. Added tfm 1950 and concatenated tfm 8657.
2003.09,26-02-2003,26-02-2003,EPSG,v6.3 release.,,,,
2003.1,29-04-2003,30-09-2003,EPSG,Add BC Albers projection,,,,"Added area 2832, projection 19984 and projected CRS 3005."
2003.11,01-05-2003,27-06-2003,Simon Cox,Add geogCRSs with axes long-lat and in decimal degrees,,,"EPSG recommends that ISO 670-9 order (latitude, longitude) be adhered to for data exchange.",Notified reporter.
2003.12,15-05-2003,06-06-2003,Roar N Nilsen; PGS,Verify ellipsoid for M'Poraloko datum,,,M'Poraloko datum and CRS implemented by Elf; confirmed that the Clarke 1880 (IGN) ellipsoid was used. Records which indicate Clarke 1880 (RGS) ellipsoid used are not correct.,Notified reporter 6/6/03.
2003.13,09-06-2003,30-09-2003,EPSG,Add Pan-European data,,,,Added area 2854-68 and 2881; proj 19985-86; projCRS 3034-35 and 3038-51.
2003.14,17-06-2003,30-09-2003,EPSG,Add Jan Mayen data,,,,"Added Area code 2869, proj 19991, datum 6660, geogCRS 4660 and 66606405, projCRS 3057, tfm 1957."
2003.141,17-06-2003,30-09-2003,EPSG,Clarify usage in Norwegian dependencies.,Area,1296 1635-38 2056 2062 2064 2066 2332 2601,,Deleted Jan Mayen from area codes 2062 2064 2332 and 2601; added Jan Mayen to Area code 2056. Added Svalbard to area codes 1296 and 1635-38.
2003.15,20-06-2003,30-09-2003,Aivars Terauds; Envirotech,Add Latvia data,,,,Added datum 6661; geogCRS 4661 4388 4389 66616405 66616413; proj 19990; projCRS 3059; tfm 1958. Added aliases and remarks to CRSs 2600 3300-01 4126 4133 4180.
2003.16,20-06-2003,30-09-2003,EPSG,Add St. Vincent transformation,,,See change request 2002.391.,Added tfm 1959.
