M,Z
652.83,-14.239
653.83,-14.235
654.83,-14.23
655.829,-14.225
656.829,-14.221
657.829,-14.216
658.829,-14.211
659.828,-14.207
660.828,-14.202
661.828,-14.197
662.828,-14.193
663.827,-14.188
664.827,-14.183
665.827,-14.178
666.826,-14.174
667.826,-14.169
668.826,-14.164
669.826,-14.159
670.825,-14.155
671.825,-14.15
672.825,-14.147
673.825,-14.148
674.824,-14.149
675.824,-14.151
676.824,-14.152
677.824,-14.153
678.823,-14.154
679.823,-14.155
680.823,-14.156
681.823,-14.157
682.822,-14.158
683.822,-14.16
684.822,-14.161
685.822,-14.162
686.821,-14.163
687.821,-14.164
688.821,-14.165
689.821,-14.166
690.82,-14.167
691.82,-14.168
692.82,-14.17
693.819,-14.171
694.819,-14.172
695.819,-14.173
696.819,-14.174
697.818,-14.175
698.818,-14.176
699.818,-14.177
700.818,-14.179
701.817,-14.18
702.817,-14.181
703.817,-14.182
704.817,-14.183
705.816,-14.184
706.816,-14.185
707.816,-14.186
708.816,-14.188
709.815,-14.189
710.815,-14.19
711.815,-14.191
712.815,-14.192
713.814,-14.193
714.814,-14.194
715.814,-14.195
716.813,-14.197
717.813,-14.198
718.813,-14.199
719.813,-14.2
720.812,-14.201
721.812,-14.202
722.812,-14.203
723.812,-14.204
724.811,-14.205
725.811,-14.207
726.811,-14.208
727.811,-14.209
728.81,-14.21
729.81,-14.211
730.81,-14.212
731.81,-14.213
732.809,-14.214
733.809,-14.216
734.809,-14.217
735.809,-14.218
736.808,-14.219
737.808,-14.22
738.808,-14.221
739.808,-14.222
740.807,-14.223
741.807,-14.225
742.807,-14.226
743.806,-14.227
744.806,-14.228
745.806,-14.229
746.806,-14.23
747.805,-14.231
748.805,-14.232
749.805,-14.234
750.805,-14.235
751.804,-14.236
752.804,-14.237
753.804,-14.238
754.804,-14.239
755.803,-14.24
756.803,-14.241
757.803,-14.242
758.803,-14.244
759.802,-14.245
760.802,-14.246
761.802,-14.247
762.802,-14.248
763.801,-14.249
764.801,-14.25
765.801,-14.251
766.8,-14.253
767.8,-14.254
768.8,-14.255
769.8,-14.256
770.799,-14.257
771.799,-14.253
772.799,-14.248
773.799,-14.244
774.798,-14.239
775.798,-14.234
776.798,-14.229
777.798,-14.224
778.797,-14.219
779.797,-14.214
780.797,-14.209
781.797,-14.205
782.796,-14.2
783.796,-14.195
784.796,-14.19
785.796,-14.185
786.795,-14.18
787.795,-14.175
788.795,-14.17
789.795,-14.165
790.794,-14.16
791.794,-14.155
792.794,-14.15
793.793,-14.145
794.793,-14.14
795.793,-14.135
796.793,-14.13
797.792,-14.125
798.792,-14.12
799.792,-14.115
800.792,-14.11
801.791,-14.105
802.791,-14.1
803.791,-14.095
804.791,-14.09
805.79,-14.085
806.79,-14.08
807.79,-14.075
808.79,-14.07
809.789,-14.065
810.789,-14.06
811.789,-14.055
812.789,-14.05
813.788,-14.045
814.788,-14.04
815.788,-14.035
816.787,-14.03
817.787,-14.025
818.787,-14.019
819.787,-14.014
820.786,-14.009
821.786,-14.004
822.786,-13.999
823.786,-13.994
824.785,-13.989
825.785,-13.984
826.785,-13.978
827.785,-13.973
828.784,-13.968
829.784,-13.963
830.784,-13.958
831.784,-13.953
832.783,-13.947
833.783,-13.942
834.783,-13.937
835.783,-13.932
836.782,-13.927
837.782,-13.921
838.782,-13.916
839.781,-13.911
840.781,-13.906
841.781,-13.901
842.781,-13.895
843.78,-13.89
844.78,-13.885
845.78,-13.88
846.78,-13.874
847.779,-13.869
848.779,-13.864
849.779,-13.858
850.779,-13.853
851.778,-13.848
852.778,-13.843
853.778,-13.837
854.778,-13.832
855.777,-13.827
856.777,-13.821
857.777,-13.816
858.777,-13.811
859.776,-13.805
860.776,-13.8
861.776,-13.795
862.776,-13.789
863.775,-13.784
864.775,-13.779
865.775,-13.773
866.774,-13.768
867.774,-13.762
868.774,-13.757
869.774,-13.752
870.773,-13.746
871.773,-13.741
872.773,-13.736
873.773,-13.731
874.772,-13.725
875.772,-13.72
876.772,-13.715
877.772,-13.71
878.771,-13.704
879.771,-13.699
880.771,-13.694
881.771,-13.689
882.77,-13.683
883.77,-13.678
884.77,-13.673
885.77,-13.668
886.769,-13.662
887.769,-13.657
888.769,-13.652
889.768,-13.647
890.768,-13.642
891.768,-13.636
892.768,-13.631
893.767,-13.626
894.767,-13.621
895.767,-13.616
896.767,-13.61
897.766,-13.605
898.766,-13.6
899.766,-13.595
900.766,-13.59
901.765,-13.584
902.765,-13.579
903.765,-13.574
904.765,-13.569
905.764,-13.564
906.764,-13.558
907.764,-13.553
908.764,-13.548
909.763,-13.543
910.763,-13.538
911.763,-13.532
912.763,-13.527
913.762,-13.522
914.762,-13.517
915.762,-13.511
916.761,-13.506
917.761,-13.501
918.761,-13.496
919.761,-13.49
920.76,-13.485
921.76,-13.48
922.76,-13.475
923.76,-13.47
924.759,-13.464
925.759,-13.459
926.759,-13.454
927.759,-13.449
928.758,-13.443
929.758,-13.438
930.758,-13.433
931.758,-13.428
932.757,-13.422
933.757,-13.417
934.757,-13.412
935.757,-13.407
936.756,-13.401
937.756,-13.396
938.756,-13.391
939.755,-13.385
940.755,-13.38
941.755,-13.375
942.755,-13.37
943.754,-13.364
944.754,-13.359
945.754,-13.354
946.754,-13.349
947.753,-13.343
948.753,-13.338
949.753,-13.333
950.753,-13.327
951.752,-13.322
952.752,-13.317
953.752,-13.312
954.752,-13.306
955.751,-13.301
956.751,-13.296
957.751,-13.29
958.751,-13.285
959.75,-13.28
960.75,-13.275
961.75,-13.269
962.75,-13.264
963.749,-13.259
964.749,-13.253
965.749,-13.248
966.748,-13.243
967.748,-13.237
968.748,-13.232
969.748,-13.226
970.747,-13.221
971.747,-13.216
972.747,-13.21
973.747,-13.205
974.746,-13.199
975.746,-13.194
976.746,-13.188
977.746,-13.183
978.745,-13.177
979.745,-13.172
980.745,-13.167
981.745,-13.161
982.744,-13.156
983.744,-13.15
984.744,-13.145
985.744,-13.139
986.743,-13.134
987.743,-13.128
988.743,-13.123
989.742,-13.117
990.742,-13.112
991.742,-13.107
992.742,-13.101
993.741,-13.096
994.741,-13.09
995.741,-13.085
996.741,-13.079
997.74,-13.074
998.74,-13.068
999.74,-13.063
1000.74,-13.057
1001.739,-13.052
1002.739,-13.047
1003.739,-13.041
1004.739,-13.036
1005.738,-13.03
1006.738,-13.025
1007.738,-13.019
1008.738,-13.014
1009.737,-13.008
1010.737,-13.003
1011.737,-12.998
1012.736,-12.992
1013.736,-12.987
1014.736,-12.981
1015.736,-12.976
1016.735,-12.97
1017.735,-12.965
1018.735,-12.959
1019.735,-12.954
1020.734,-12.948
1021.734,-12.943
1022.734,-12.938
1023.734,-12.932
1024.733,-12.927
1025.733,-12.921
1026.733,-12.916
1027.733,-12.91
1028.732,-12.905
1029.732,-12.899
1030.732,-12.894
1031.732,-12.888
1032.731,-12.883
1033.731,-12.878
1034.731,-12.872
1035.731,-12.867
1036.73,-12.861
1037.73,-12.856
1038.73,-12.85
1039.729,-12.845
1040.729,-12.839
1041.729,-12.834
1042.729,-12.828
1043.728,-12.823
1044.728,-12.818
1045.728,-12.812
1046.728,-12.807
1047.727,-12.801
1048.727,-12.796
1049.727,-12.79
1050.727,-12.785
1051.726,-12.779
1052.726,-12.774
1053.726,-12.769
1054.726,-12.763
1055.725,-12.758
1056.725,-12.752
1057.725,-12.747
1058.725,-12.741
1059.724,-12.736
1060.724,-12.73
1061.724,-12.725
1062.723,-12.719
1063.723,-12.714
1064.723,-12.709
1065.723,-12.703
1066.722,-12.698
1067.722,-12.692
1068.722,-12.687
1069.722,-12.682
1070.721,-12.677
1071.721,-12.671
1072.721,-12.666
1073.721,-12.661
1074.72,-12.656
1075.72,-12.651
1076.72,-12.645
1077.72,-12.64
1078.719,-12.635
1079.719,-12.63
1080.719,-12.624
1081.719,-12.619
1082.718,-12.614
1083.718,-12.609
1084.718,-12.603
1085.718,-12.598
1086.717,-12.593
1087.717,-12.588
1088.717,-12.582
1089.716,-12.577
1090.716,-12.572
1091.716,-12.567
1092.716,-12.561
1093.715,-12.556
1094.715,-12.551
1095.715,-12.546
1096.715,-12.54
1097.714,-12.535
1098.714,-12.53
1099.714,-12.525
1100.714,-12.519
1101.713,-12.514
1102.713,-12.509
1103.713,-12.504
1104.713,-12.498
1105.712,-12.493
1106.712,-12.488
1107.712,-12.483
1108.712,-12.477
1109.711,-12.472
1110.711,-12.467
1111.711,-12.462
1112.71,-12.456
1113.71,-12.451
1114.71,-12.446
1115.71,-12.441
1116.709,-12.435
1117.709,-12.43
1118.709,-12.425
1119.709,-12.42
1120.708,-12.414
1121.708,-12.409
1122.708,-12.404
1123.708,-12.399
1124.707,-12.393
1125.707,-12.388
1126.707,-12.383
1127.707,-12.378
1128.706,-12.372
1129.706,-12.367
1130.706,-12.362
1131.706,-12.357
1132.705,-12.351
1133.705,-12.346
1134.705,-12.341
1135.704,-12.336
1136.704,-12.33
1137.704,-12.325
1138.704,-12.32
1139.703,-12.315
1140.703,-12.309
1141.703,-12.304
1142.703,-12.298
1143.702,-12.293
1144.702,-12.288
1145.702,-12.282
1146.702,-12.277
1147.701,-12.272
1148.701,-12.266
1149.701,-12.261
1150.701,-12.256
1151.7,-12.25
1152.7,-12.245
1153.7,-12.239
1154.7,-12.234
1155.699,-12.229
1156.699,-12.223
1157.699,-12.218
1158.699,-12.213
1159.698,-12.207
1160.698,-12.202
1161.698,-12.196
1162.697,-12.191
1163.697,-12.186
1164.697,-12.18
1165.697,-12.175
1166.696,-12.171
1167.696,-12.166
1168.696,-12.161
1169.696,-12.156
1170.695,-12.151
1171.695,-12.147
1172.695,-12.142
1173.695,-12.137
1174.694,-12.132
1175.694,-12.127
1176.694,-12.122
1177.694,-12.118
1178.693,-12.113
1179.693,-12.108
1180.693,-12.103
1181.693,-12.098
1182.692,-12.093
1183.692,-12.089
1184.692,-12.084
1185.691,-12.079
1186.691,-12.074
1187.691,-12.069
1188.691,-12.064
1189.69,-12.06
1190.69,-12.055
1191.69,-12.05
1192.69,-12.045
1193.689,-12.04
1194.689,-12.035
1195.689,-12.03
1196.689,-12.026
1197.688,-12.021
1198.688,-12.016
1199.688,-12.011
1200.688,-12.006
1201.687,-12.001
1202.687,-11.996
1203.687,-11.991
1204.687,-11.987
1205.686,-11.982
1206.686,-11.977
1207.686,-11.972
1208.686,-11.967
1209.685,-11.962
1210.685,-11.957
1211.685,-11.952
1212.684,-11.947
1213.684,-11.942
1214.684,-11.938
1215.684,-11.933
1216.683,-11.928
1217.683,-11.923
1218.683,-11.918
1219.683,-11.913
1220.682,-11.908
1221.682,-11.903
1222.682,-11.898
1223.682,-11.893
1224.681,-11.888
1225.681,-11.883
1226.681,-11.878
1227.681,-11.873
1228.68,-11.869
1229.68,-11.864
1230.68,-11.859
1231.68,-11.854
1232.679,-11.849
1233.679,-11.844
1234.679,-11.839
1235.678,-11.834
1236.678,-11.829
1237.678,-11.824
1238.678,-11.819
1239.677,-11.814
1240.677,-11.809
1241.677,-11.804
1242.677,-11.799
1243.676,-11.794
1244.676,-11.789
1245.676,-11.784
1246.676,-11.779
1247.675,-11.774
1248.675,-11.769
1249.675,-11.764
1250.675,-11.759
1251.674,-11.754
1252.674,-11.749
1253.674,-11.744
1254.674,-11.739
1255.673,-11.734
1256.673,-11.729
1257.673,-11.724
1258.673,-11.719
1259.672,-11.714
1260.672,-11.709
1261.672,-11.704
1262.671,-11.699
1263.671,-11.695
1264.671,-11.696
1265.671,-11.696
1266.67,-11.697
1267.67,-11.697
1268.67,-11.698
1269.67,-11.699
1270.669,-11.699
1271.669,-11.7
1272.669,-11.7
1273.669,-11.701
1274.668,-11.702
1275.668,-11.702
1276.668,-11.703
1277.668,-11.703
1278.667,-11.704
1279.667,-11.705
1280.667,-11.705
1281.667,-11.706
1282.666,-11.706
1283.666,-11.707
1284.666,-11.708
1285.665,-11.708
1286.665,-11.709
1287.665,-11.709
1288.665,-11.71
1289.664,-11.711
1290.664,-11.711
1291.664,-11.712
1292.664,-11.712
1293.663,-11.713
1294.663,-11.714
1295.663,-11.714
1296.663,-11.715
1297.662,-11.715
1298.662,-11.716
1299.662,-11.717
1300.662,-11.717
1301.661,-11.718
1302.661,-11.718
1303.661,-11.719
1304.661,-11.72
1305.66,-11.72
1306.66,-11.721
1307.66,-11.721
1308.659,-11.722
1309.659,-11.723
1310.659,-11.723
1311.659,-11.724
1312.658,-11.724
1313.658,-11.725
1314.658,-11.726
1315.658,-11.726
1316.657,-11.727
1317.657,-11.727
1318.657,-11.728
1319.657,-11.729
1320.656,-11.729
1321.656,-11.73
1322.656,-11.73
1323.656,-11.731
1324.655,-11.732
1325.655,-11.732
1326.655,-11.733
1327.655,-11.733
1328.654,-11.734
1329.654,-11.735
1330.654,-11.735
1331.654,-11.736
1332.653,-11.736
1333.653,-11.737
1334.653,-11.738
1335.652,-11.738
1336.652,-11.739
1337.652,-11.739
1338.652,-11.74
1339.651,-11.741
1340.651,-11.741
1341.651,-11.742
1342.651,-11.742
1343.65,-11.743
1344.65,-11.744
1345.65,-11.744
1346.65,-11.745
1347.649,-11.745
1348.649,-11.746
1349.649,-11.747
1350.649,-11.747
1351.648,-11.748
1352.648,-11.748
1353.648,-11.749
1354.648,-11.75
1355.647,-11.75
1356.647,-11.751
1357.647,-11.751
1358.646,-11.752
1359.646,-11.753
1360.646,-11.753
1361.646,-11.754
1362.645,-11.751
1363.645,-11.746
1364.645,-11.741
1365.645,-11.736
1366.644,-11.731
1367.644,-11.726
1368.644,-11.721
1369.644,-11.716
1370.643,-11.711
1371.643,-11.706
1372.643,-11.701
1373.643,-11.696
1374.642,-11.691
1375.642,-11.686
1376.642,-11.681
1377.642,-11.676
1378.641,-11.671
1379.641,-11.666
1380.641,-11.661
1381.641,-11.656
1382.64,-11.651
1383.64,-11.646
1384.64,-11.641
1385.639,-11.636
1386.639,-11.631
1387.639,-11.626
1388.639,-11.621
1389.638,-11.616
1390.638,-11.611
1391.638,-11.606
1392.638,-11.601
1393.637,-11.596
1394.637,-11.591
1395.637,-11.586
1396.637,-11.581
1397.636,-11.576
1398.636,-11.571
1399.636,-11.566
1400.636,-11.561
1401.635,-11.556
1402.635,-11.551
1403.635,-11.545
1404.635,-11.54
1405.634,-11.535
1406.634,-11.53
1407.634,-11.525
1408.633,-11.52
1409.633,-11.515
1410.633,-11.51
1411.633,-11.505
1412.632,-11.5
1413.632,-11.495
1414.632,-11.489
1415.632,-11.484
1416.631,-11.479
1417.631,-11.474
1418.631,-11.469
1419.631,-11.464
1420.63,-11.459
1421.63,-11.454
1422.63,-11.449
1423.63,-11.443
1424.629,-11.438
1425.629,-11.433
1426.629,-11.428
1427.629,-11.423
1428.628,-11.418
1429.628,-11.412
1430.628,-11.407
1431.628,-11.402
1432.627,-11.397
1433.627,-11.392
1434.627,-11.387
1435.626,-11.381
1436.626,-11.376
1437.626,-11.371
1438.626,-11.366
1439.625,-11.361
1440.625,-11.356
1441.625,-11.35
1442.625,-11.345
1443.624,-11.34
1444.624,-11.335
1445.624,-11.33
1446.624,-11.324
1447.623,-11.319
1448.623,-11.314
1449.623,-11.309
1450.623,-11.303
1451.622,-11.298
1452.622,-11.293
1453.622,-11.288
1454.622,-11.283
1455.621,-11.277
1456.621,-11.272
1457.621,-11.267
1458.62,-11.262
1459.62,-11.256
1460.62,-11.251
1461.62,-11.246
1462.619,-11.24
1463.619,-11.235
1464.619,-11.23
1465.619,-11.224
1466.618,-11.219
1467.618,-11.214
1468.618,-11.208
1469.618,-11.203
1470.617,-11.198
1471.617,-11.192
1472.617,-11.187
1473.617,-11.181
1474.616,-11.176
1475.616,-11.171
1476.616,-11.165
1477.616,-11.16
1478.615,-11.154
1479.615,-11.149
1480.615,-11.143
1481.614,-11.138
1482.614,-11.133
1483.614,-11.127
1484.614,-11.122
1485.613,-11.116
1486.613,-11.111
1487.613,-11.105
1488.613,-11.1
1489.612,-11.094
1490.612,-11.089
1491.612,-11.083
1492.612,-11.078
1493.611,-11.072
1494.611,-11.066
1495.611,-11.061
1496.611,-11.055
1497.61,-11.05
