M,Z
745.924,-7.836
747.17,-7.823
748.415,-7.81
749.66,-7.796
750.906,-7.783
752.151,-7.769
753.396,-7.755
754.641,-7.741
755.887,-7.727
757.132,-7.713
758.377,-7.699
759.623,-7.685
760.868,-7.671
762.113,-7.656
763.358,-7.642
764.604,-7.627
765.849,-7.612
767.094,-7.596
768.34,-7.574
769.585,-7.551
770.83,-7.529
772.075,-7.506
773.321,-7.484
774.566,-7.461
775.811,-7.438
777.057,-7.416
778.302,-7.393
779.547,-7.37
780.792,-7.347
782.038,-7.324
783.283,-7.301
784.528,-7.277
785.774,-7.254
787.019,-7.231
788.264,-7.207
789.509,-7.184
790.755,-7.16
792,-7.136
793.245,-7.113
794.49,-7.089
795.736,-7.065
796.981,-7.041
798.226,-7.017
799.472,-6.993
800.717,-6.969
801.962,-6.944
803.207,-6.92
804.453,-6.896
805.698,-6.871
806.943,-6.855
808.189,-6.838
809.434,-6.82
810.679,-6.803
811.924,-6.786
813.17,-6.768
814.415,-6.751
815.66,-6.733
816.906,-6.715
818.151,-6.697
819.396,-6.679
820.641,-6.661
821.887,-6.643
823.132,-6.625
824.377,-6.606
825.623,-6.588
826.868,-6.569
828.113,-6.551
829.358,-6.532
830.604,-6.513
831.849,-6.494
833.094,-6.475
834.34,-6.455
835.585,-6.436
836.83,-6.417
838.075,-6.397
839.321,-6.378
840.566,-6.358
841.811,-6.338
843.057,-6.318
844.302,-6.298
845.547,-6.278
846.792,-6.258
848.038,-6.237
849.283,-6.217
850.528,-6.196
851.774,-6.176
853.019,-6.155
854.264,-6.134
855.509,-6.113
856.755,-6.092
858,-6.071
859.245,-6.049
860.49,-6.028
861.736,-6.007
862.981,-5.985
864.226,-5.963
865.472,-5.942
866.717,-5.92
867.962,-5.898
869.207,-5.875
870.453,-5.853
871.698,-5.831
872.943,-5.809
874.189,-5.786
875.434,-5.763
876.679,-5.741
877.924,-5.718
879.17,-5.695
880.415,-5.672
882,-2.362
883,-2.323
884,-2.284
885,-2.261
886,-2.29
887,-2.337
888,-2.333
889,-2.291
890,-2.251
891,-2.269
892,-2.288
893,-2.306
894,-2.325
895,-2.339
896,-2.32
897,-2.227
898,-2.266
899,-2.244
900,-2.242
901,-2.236
902,-2.238
903,-2.238
904,-2.249
905,-2.201
906,-1.74
907,-1.629
908,-1.88
