M,Z
639.919,-17.52
640.919,-17.515
641.919,-17.51
642.919,-17.505
643.919,-17.5
644.918,-17.494
645.918,-17.489
646.918,-17.484
647.918,-17.479
648.918,-17.474
649.918,-17.468
650.918,-17.463
651.918,-17.458
652.917,-17.452
653.917,-17.447
654.917,-17.442
655.917,-17.436
656.917,-17.431
657.917,-17.426
658.917,-17.42
659.916,-17.415
660.916,-17.41
661.916,-17.404
662.916,-17.399
663.916,-17.393
664.916,-17.388
665.916,-17.382
666.916,-17.377
667.915,-17.371
668.915,-17.366
669.915,-17.36
670.915,-17.355
671.915,-17.349
672.915,-17.344
673.915,-17.338
674.915,-17.333
675.914,-17.327
676.914,-17.321
677.914,-17.316
678.914,-17.31
679.914,-17.304
680.914,-17.299
681.914,-17.294
682.914,-17.29
683.913,-17.285
684.913,-17.281
685.913,-17.276
686.913,-17.272
687.913,-17.267
688.913,-17.263
689.913,-17.259
690.913,-17.254
691.912,-17.25
692.912,-17.245
693.912,-17.241
694.912,-17.237
695.912,-17.232
696.912,-17.228
697.912,-17.223
698.912,-17.219
699.911,-17.215
700.911,-17.21
701.911,-17.206
702.911,-17.202
703.911,-17.198
704.911,-17.193
705.911,-17.189
706.911,-17.185
707.91,-17.18
708.91,-17.176
709.91,-17.172
710.91,-17.168
711.91,-17.163
712.91,-17.159
713.91,-17.155
714.91,-17.151
715.909,-17.147
716.909,-17.142
717.909,-17.138
718.909,-17.134
719.909,-17.13
720.909,-17.126
721.909,-17.122
722.909,-17.118
723.908,-17.113
724.908,-17.109
725.908,-17.105
726.908,-17.101
727.908,-17.097
728.908,-17.093
729.908,-17.089
730.908,-17.085
731.907,-17.081
732.907,-17.077
733.907,-17.073
734.907,-17.069
735.907,-17.065
736.907,-17.061
737.907,-17.057
738.907,-17.053
739.906,-17.049
740.906,-17.045
741.906,-17.041
742.906,-17.037
743.906,-17.033
744.906,-17.029
745.906,-17.026
746.905,-17.022
747.905,-17.018
748.905,-17.014
749.905,-17.01
750.905,-17.006
751.905,-17.002
752.905,-16.999
753.905,-16.995
754.904,-16.991
755.904,-16.987
756.904,-16.983
757.904,-16.979
758.904,-16.976
759.904,-16.972
760.904,-16.968
761.904,-16.964
762.903,-16.961
763.903,-16.957
764.903,-16.953
765.903,-16.949
766.903,-16.946
767.903,-16.942
768.903,-16.938
769.903,-16.935
770.902,-16.931
771.902,-16.927
772.902,-16.924
773.902,-16.92
774.902,-16.916
775.902,-16.913
776.902,-16.909
777.902,-16.906
778.901,-16.902
779.901,-16.898
780.901,-16.895
781.901,-16.891
782.901,-16.888
783.901,-16.884
784.901,-16.88
785.901,-16.877
786.9,-16.873
787.9,-16.869
788.9,-16.865
789.9,-16.861
790.9,-16.857
791.9,-16.853
792.9,-16.849
793.9,-16.845
794.899,-16.841
795.899,-16.837
796.899,-16.833
797.899,-16.829
798.899,-16.825
799.899,-16.821
800.899,-16.818
801.899,-16.814
802.898,-16.81
803.898,-16.806
804.898,-16.802
805.898,-16.798
806.898,-16.794
807.898,-16.79
808.898,-16.786
809.898,-16.783
810.897,-16.779
811.897,-16.775
812.897,-16.771
813.897,-16.767
814.897,-16.763
815.897,-16.759
816.897,-16.756
